station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address,source
Beatty & Nelson,49.275679,-123.116963,Blue Water Cafe + Raw Bar,,,Seafood Restaurant,,,304.0,1095 Hamilton St,FourSquare
Beatty & Nelson,49.275679,-123.116963,OEB Breakfast Co,,,Dining and Drinking,,,311.0,1137 Marinaside Cres,FourSquare
Beatty & Nelson,49.275679,-123.116963,Cooper's Park,,,Dog Park,,,321.0,1020 Marinaside Cres,FourSquare
Beatty & Nelson,49.275679,-123.116963,Honey Salt,,,Restaurant,,,304.0,39 Smithe St,FourSquare
Beatty & Nelson,49.275679,-123.116963,Small Victory Bakery,,,Bakery,,,324.0,1088 Homer St,FourSquare
Abbott & Cordova,49.282759,-123.106955,Tacofino,,,Taco Restaurant,,,150.0,15 Cordova St W,FourSquare
Abbott & Cordova,49.282759,-123.106955,MeeT in Gastown,,,Vegan and Vegetarian Restaurant,,,163.0,12 Water St,FourSquare
Abbott & Cordova,49.282759,-123.106955,Meat & Bread,,,Bakery,,,173.0,370 Cambie St,FourSquare
Abbott & Cordova,49.282759,-123.106955,Pourhouse Restaurant,,,Restaurant,,,182.0,162 Water St,FourSquare
Abbott & Cordova,49.282759,-123.106955,Revolver,,,Café,,,190.0,325 Cambie St,FourSquare
Abbott & Cordova,49.282759,-123.106955,John Fluevog Boots & Shoes Ltd,,,Shoe Store,,,157.0,65 Water St,FourSquare
Abbott & Cordova,49.282759,-123.106955,Nelson the Seagull,,,Bakery,,,185.0,315 Carrall St,FourSquare
Abbott & Cordova,49.282759,-123.106955,The Old Spaghetti Factory,,,Italian Restaurant,,,168.0,53 Water St,FourSquare
Abbott & Cordova,49.282759,-123.106955,Timbertrain Coffee Roasters,,,Coffee Shop,,,195.0,311W Cordova St W,FourSquare
Abbott & Cordova,49.282759,-123.106955,Nuba,,,Lebanese Restaurant,,,191.0,207B W Hastings St,FourSquare
Comox & Denman,49.288444,-123.139203,Brandon & Joanny's NOFRILLS Vancouver,,,Grocery Store,,,13.0,1030 Denman St,FourSquare
Comox & Denman,49.288444,-123.139203,Banana Leaf,,,Malay Restaurant,,,55.0,1096 Denman St,FourSquare
Comox & Denman,49.288444,-123.139203,Dollarama,,,Discount Store,,,24.0,1779 Comox St,FourSquare
Comox & Denman,49.288444,-123.139203,Delany's Coffee House,,,Coffee Shop,,,94.0,1105 Denman St,FourSquare
Comox & Denman,49.288444,-123.139203,Peaked Pies,,,Australian Restaurant,,,142.0,975 Denman St,FourSquare
Comox & Denman,49.288444,-123.139203,A-maze-ing Laughter,,,Sculpture Garden,,,196.0,1800 Morton Ave,FourSquare
Comox & Denman,49.288444,-123.139203,Starbucks,,,Coffee Shop,,,215.0,1795 Davie St,FourSquare
Comox & Denman,49.288444,-123.139203,Eye Kandee Lingerie,,,Clothing Store,,,265.0,1685 Davie St,FourSquare
Comox & Denman,49.288444,-123.139203,Sylvia's Bar,,,Bar,,,247.0,1154 Gilford St,FourSquare
Comox & Denman,49.288444,-123.139203,Kingyo Izakaya 金魚居酒屋,,,Sushi Restaurant,,,293.0,871 Denman St,FourSquare
Cordova & Bute,49.289124,-123.12196,Harbour Green Park,,,Park,,,30.0,1187A1 W Cordova St,FourSquare
Cordova & Bute,49.289124,-123.12196,Coal Harbour Seawall,,,Waterfront,,,265.0,W Cordova St,FourSquare
Cordova & Bute,49.289124,-123.12196,Cactus Club Cafe,,,American Restaurant,,,288.0,1085 Canada Pl,FourSquare
Cordova & Bute,49.289124,-123.12196,Koffie,,,Café,,,291.0,1050 Pender St W,FourSquare
Cordova & Bute,49.289124,-123.12196,Jack Poole Plaza,,,Plaza,,,320.0,Vancouver Convention Ctr,FourSquare
Cordova & Bute,49.289124,-123.12196,49th Parallel Café & Lucky's Doughnuts - THURLOW,,,Dining and Drinking,,,348.0,689 Thurlow St,FourSquare
Cordova & Bute,49.289124,-123.12196,Tap & Barrel,,,Bar,,,373.0,1055 Canada Pl,FourSquare
Cordova & Bute,49.289124,-123.12196,Botanist,,,Restaurant,,,399.0,1038 Canada Pl,FourSquare
Cordova & Bute,49.289124,-123.12196,BC Liquor Store,,,Beer Store,,,420.0,768 Bute St,FourSquare
Cordova & Bute,49.289124,-123.12196,Muji 無印良品,,,Miscellaneous Store,,,482.0,1125 Robson St,FourSquare
Hornby & Nelson,49.28062,-123.12482,Pallet Coffee Roasters,,,Coffee Shop,,,110.0,980 Howe St,FourSquare
Hornby & Nelson,49.28062,-123.12482,Le Crocodile Restaurant,,,French Restaurant,,,219.0,100A90 Burrard St,FourSquare
Hornby & Nelson,49.28062,-123.12482,MarketPlace IGA,,,Grocery Store,,,177.0,909 Burrard St,FourSquare
Hornby & Nelson,49.28062,-123.12482,The Templeton,,,Bistro,,,238.0,1087 Granville St,FourSquare
